"filename", "language", "C#", "XAML", "JSON", "XML", "Properties", "Markdown", "comment", "blank", "total"
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\details.md", "Markdown", 0, 0, 0, 0, 0, 1478, 0, 6, 1484
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 6, 15
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 7, 19
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\.VSCodeCounter\2024-12-30_09-06-13\results.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 7, 47
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\App.xaml", "XAML", 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\App.xaml.cs", "C#", 28, 0, 0, 0, 0, 0, 1, 5, 34
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\AssemblyInfo.cs", "C#", 5, 0, 0, 0, 0, 0, 4, 2, 11
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\MainWindow.xaml", "XAML", 0, 47, 0, 0, 0, 0, 0, 1, 48
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\MainWindow.xaml.cs", "C#", 71, 0, 0, 0, 0, 0, 10, 14, 95
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\MirageMUD_ClientWPF.csproj", "XML", 0, 0, 0, 64, 0, 0, 0, 8, 72
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\Model\Core\Config.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\Model\Network\CHandleData.cs", "C#", 247, 0, 0, 0, 0, 0, 20, 24, 291
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\Model\Network\ClientTCP.cs", "C#", 161, 0, 0, 0, 0, 0, 63, 49, 273
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\Model\Types\Globals.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\Model\Utilities\BBCodeToFD.cs", "C#", 73, 0, 0, 0, 0, 0, 6, 10, 89
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\Model\Utilities\ConfigReader.cs", "C#", 77, 0, 0, 0, 0, 0, 10, 10, 97
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\Themes\Themes.xaml", "XAML", 0, 207, 0, 0, 0, 0, 20, 23, 250
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\ViewModel\CharacterViewModel.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 6, 39
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\ViewModel\GameViewModel.cs", "C#", 16, 0, 0, 0, 0, 0, 1, 3, 20
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\ActionButton.cs", "C#", 13, 0, 0, 0, 0, 0, 1, 2, 16
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\AvatarView.xaml", "XAML", 0, 98, 0, 0, 0, 0, 0, 3, 101
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\AvatarView.xaml.cs", "C#", 153, 0, 0, 0, 0, 0, 12, 23, 188
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\CharactersView.xaml", "XAML", 0, 178, 0, 0, 0, 0, 1, 8, 187
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\CharactersView.xaml.cs", "C#", 129, 0, 0, 0, 0, 0, 15, 14, 158
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\GameView.xaml", "XAML", 0, 464, 0, 0, 0, 0, 25, 13, 502
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\GameView.xaml.cs", "C#", 118, 0, 0, 0, 0, 0, 11, 29, 158
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\LoginView.xaml", "XAML", 0, 216, 0, 0, 0, 0, 0, 8, 224
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\LoginView.xaml.cs", "C#", 122, 0, 0, 0, 0, 0, 87, 16, 225
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\NewAccountView.xaml", "XAML", 0, 191, 0, 0, 0, 0, 0, 7, 198
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\NewAccountView.xaml.cs", "C#", 54, 0, 0, 0, 0, 0, 4, 7, 65
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\NewCharView.xaml", "XAML", 0, 481, 0, 0, 0, 0, 1, 8, 490
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\NewCharView.xaml.cs", "C#", 90, 0, 0, 0, 0, 0, 7, 12, 109
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\SettingsView.xaml", "XAML", 0, 189, 0, 0, 0, 0, 0, 6, 195
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\SettingsView.xaml.cs", "C#", 129, 0, 0, 0, 0, 0, 26, 23, 178
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\View\UIButton.cs", "C#", 13, 0, 0, 0, 0, 0, 1, 2, 16
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\config.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\cy.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 2, 121
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\de.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\en-gb.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 0, 119
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\en-us.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 0, 119
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\es.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\fr.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\it.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\ja-ro.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\pl.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\pt.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\Data\lang\sv.json", "JSON", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\MirageMUD_ClientWPF.deps.json", "JSON", 0, 0, 198, 0, 0, 0, 0, 0, 198
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\bin\Debug\net8.0-windows\MirageMUD_ClientWPF.runtimeconfig.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\obj\Debug\net8.0-windows\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\obj\Debug\net8.0-windows\App.g.cs", "C#", 53, 0, 0, 0, 0, 0, 18, 14, 85
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\obj\Debug\net8.0-windows\App.g.i.cs", "C#", 53, 0, 0, 0, 0, 0, 18, 14, 85
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_ClientWPF\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.cs", "C#", 26, 0, 0, 0, 0, 0, 27, 10, 63
