"filename", "language", "C#", "JSON", "XML", "Properties", "Ini", "Markdown", "comment", "blank", "total"
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\.VSCodeCounter\2024-12-30_09-07-48\details.md", "Markdown", 0, 0, 0, 0, 0, 53, 0, 6, 59
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\.VSCodeCounter\2024-12-30_09-07-48\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 6, 15
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\.VSCodeCounter\2024-12-30_09-07-48\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 7, 19
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\.VSCodeCounter\2024-12-30_09-07-48\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\.VSCodeCounter\2024-12-30_09-07-48\results.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 7, 44
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Core\General.cs", "C#", 40, 0, 0, 0, 0, 0, 13, 13, 66
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Core\Program.cs", "C#", 19, 0, 0, 0, 0, 0, 2, 5, 26
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\MirageMUD_Server.csproj", "XML", 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Network\Client.cs", "C#", 59, 0, 0, 0, 0, 0, 13, 13, 85
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Network\SHandleData.cs", "C#", 265, 0, 0, 0, 0, 0, 23, 20, 308
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Network\ServerTCP.cs", "C#", 113, 0, 0, 0, 0, 0, 27, 39, 179
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Network\ServerWebSocket.cs", "C#", 20, 0, 0, 0, 0, 0, 2, 6, 28
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\PlayerData\Classes.cs", "C#", 41, 0, 0, 0, 0, 0, 5, 7, 53
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\PlayerData\Equipment.cs", "C#", 35, 0, 0, 0, 0, 0, 1, 3, 39
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\PlayerData\Inventory.cs", "C#", 19, 0, 0, 0, 0, 0, 1, 3, 23
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\PlayerData\Races.cs", "C#", 42, 0, 0, 0, 0, 0, 6, 8, 56
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\PlayerData\Spells.cs", "C#", 11, 0, 0, 0, 0, 0, 1, 2, 14
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\PlayerData\Stats.cs", "C#", 21, 0, 0, 0, 0, 0, 1, 2, 24
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Storage\ConfigReader.cs", "C#", 22, 0, 0, 0, 0, 0, 6, 5, 33
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Storage\Database.cs", "C#", 124, 0, 0, 0, 0, 0, 25, 28, 177
"d:\Coding Projects\C#\MirageMUD2\MirageMUD_Server\Types\STypes.cs", "C#", 90, 0, 0, 0, 0, 0, 19, 18, 127
